Campus,Region,Bldg,AC,stname,capacity,roomnum,sqft,roomtype,subfree
Pomona,South,Harwood,No,0A,4,80,119,single,No
Pomona,South,Harwood,No,0A,4,82,133,single,No
Pomona,South,Harwood,No,0A,4,84,108,single,No
Pomona,South,Harwood,No,0A,4,86,130,single,No
Pomona,South,Harwood,No,0B,4,83,177,single,No
Pomona,South,Harwood,No,0B,4,85,161,single,No
Pomona,South,Harwood,No,0B,4,87,232,double1,No
Pomona,South,Harwood,No,1A,4,142,133,single,Yes
Pomona,South,Harwood,No,1A,4,144,175,single,Yes
Pomona,South,Harwood,No,1A,4,145,123,single,Yes
Pomona,South,Harwood,No,1A,4,147,137,single,Yes
Pomona,South,Harwood,No,2A,4,253,98,single,No
Pomona,South,Harwood,No,2A,4,255,90,single,No
Pomona,South,Harwood,No,2A,4,257,90,single,No
Pomona,South,Harwood,No,2A,4,259,104,single,No
Pomona,South,Harwood,No,2B,4,280,111,single,No
Pomona,South,Harwood,No,2B,4,282,129,single,No
Pomona,South,Harwood,No,2B,4,284,100,single,No
Pomona,South,Harwood,No,2B,4,286,105,single,No
Pomona,South,Harwood,No,3A,4,301,185,double1,No
Pomona,South,Harwood,No,3A,4,302,200,double1,No
Pomona,South,Harwood,No,3B,4,378,156,double1,No
Pomona,South,Harwood,No,3B,4,379,231,double1,No
